attribute,match,mismatch,uncertainty_material,uncertainty_technique,irrelevance
polydispersity,The expected grade of polydispersity of the particulate component does not affect the reliability of the measurement technique.,The expected grade of polydispersity of the particulate component may affect the reliability of the measurement technique.,As the grade of polydispersity of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The grade of polydispersity of the particulate component is irrelevant for the recommendation of the measurement technique.
multimodality,The expected grade of multimodality of the particulate component does not affect the reliability of the measurement technique.,The expected grade of multimodality of the particulate component may affect the reliability of the measurement technique.,As the grade of multimodality of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The grade of multimodality of the particulate component is irrelevant for the recommendation of the measurement technique.
conductivity,The expected conductivity of the particulate component does not affect the reliability of the measurement technique.,The expected conductivity of the particulate component does may the reliability of the measurement technique.,As the conductivity of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The conductivity of the particulate component is irrelevant for the recommendation of the measurement technique.
magnetism,Either no magnetic properties are expected or the expected magnetic properties of the particulate component do not affect the reliability of the measurement technique.,At least one expected type of magnetism of the particulate component is not supported by the measurement technique.,As the magnetic properties of the particulate component are unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The magnetic properties of the particulate component is irrelevant for the recommendation of the measurement technique.
functionalisation,Either no functionalisation of particles is expected or functionalisation of particles in the particulate component does not affect the reliability of the measurement technique.,The expected functionalization of particles in the particulate component may affect the reliability of the measurement technique.,As the functionalisation of particles of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,Functionalisation of particles in the particulate component is irrelevant for the recommendation of the measurement technique.
light_absorption,Either no light absorptive properties are expected or light absorptive properties of the particulate component do not affect the reliability of the measurement technique.,The expected light absorptive properties of the particulate component may affect the reliability of the measurement technique.,As the light absorptive properties of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The light absorptive properties of the particulate component are irrelevant for the recommendation of the measurement technique.
fluorescence,Either no fluorescent properties are expected or light fluorescent properties of the particulate component do not affect the reliability of the measurement technique.,The expected fluorescent properties of the particulate component may affect the reliability of the measurement technique.,As the fluorescent properties of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The fluorescent properties of the particulate component are irrelevant for the recommendation of the measurement technique.
aggregation,Either no significant aggregation is expected or significant aggregation in the particulate component does not affect the reliability of the measurement technique.,The expected significant aggregation in the particulate component may affect the reliability of the measurement technique.,As significant aggregation in the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,Significant aggregation in the particulate component is irrelevant for the recommendation of the measurement technique.
agglomeration,Either no significant agglomeration is expected or significant agglomeration in the particulate component does not affect the reliability of the measurement technique.,The expected significant agglomeration in the particulate component may affect the reliability of the measurement technique.,As significant agglomeration in the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,Significant agglomeration in the particulate component is irrelevant for the recommendation of the measurement technique.
release_iam,"Either no release of ions, atoms or molecules is expected or the expected release of ions, atoms or molecules of the particulate component does not affect the reliability of the measurement technique.","The expected release of ions, atoms or molecules of the particulate component may affect the reliability of the measurement technique.","As the release of ions, atoms or molecules of the particulate component is unknown the recommendation of the measurement technique is not affected.",There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,"The release of ions, atoms or molecules by the particulate component is irrelevant for the recommendation of the measurement technique."
tier,,,,,
purpose,,,,,
disclaimer,,,,,
multiconstituent,,,,,
specific_technique,,,,,
wr_size_range,The expected particle size range of the particulate component is supported by the measurement technique.,The expected particle size range of the particulate component is not supported by the measurement technique.,As the particle size range of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The particle size range of the particulate component is irrelevant for the recommendation of the measurement technique.
wr_concentration_range_type,,,,,
wr_concentration_range,,,,,
wr_minimum_sample_type,,,,,
wr_minimum_sample,,,,,
wr_linear_proportional_size,,,,,
wr_linear_proportional_concentration,,,,,
wr_detection_quantification_limit,,,,,
wr_sensitivity,,,,,
trueness,,,,,
weighting_trueness,,,,,
robustness,,,,,
precision_type,,,,,
precision,,,,,
resolution_type,,,,,
resolution,,,,,
size_distribution,,,,,
presence,Either no presence of sub- or susnano-sized particles is expected or presence of sub- or susnano-sized particles in the particulate component does not affect the reliability of the measurement technique.,The expected presence of sub- or susnano-sized particles in the particulate component may affect the reliability of the measurement technique.,As the presence of sub- or susnano-sized particles in the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The presence of sub- or susnano-sized particles in the particulate component is irrelevant for the recommendation of the measurement technique.
sl_discr_nnp_same,,,,,
sl_discr_nnp_same_robustness,,,,,
sl_discr_nnp_diff,,,,,
sl_discr_nnp_diff_robustness,,,,,
sl_discr_np_diff,,,,,
sl_discr_np_diff_robustness,,,,,
measurement_aggr,,,,,
measurement_aggl,,,,,
measurement_individual_particle,,,,,
constituent_particle_counting_aggr,,,,,
constituent_particle_counting_aggl,,,,,
composition,,,,,
size_type,,,,,
data_format,,,,,
destructive,,,,,
os_vacuum,"Degradation of the particulate component is not expected, as either the particulate component is insensitive to vacuum or the measurement technique does not operate under vacuum.","Degradation of the particulate component is may occur, as either the particulate component is expected to be sensitive to vacuum and the measurement technique does apply vacuum.",As the sensitivity to vacuum of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The sensitivity to vacuum of the particulate component is irrelevant for the recommendation of the measurement technique.
os_sample_support,,,,,
direct_counting,,,,,
convertibility,,,,,
full_size_range,,,,,
upper_size,,,,,
lower_size,,,,,
smallest_particle_dimension,,,,,
primary_particle_access_aggr,,,,,
primary_particle_access_aggl,,,,,
availability,,,,,
standard,,,,,
reference,,,,,
eot_preparation,,,,,
eot_measurement,,,,,
eot_reduction,,,,,
eot_total,,,,,
cost_instrument,,,,,
cost_analysis,,,,,
cost_efficiency,,,,,
expertise,,,,,
hyphenation,,,,,
vacuum,,,,,
sample_support,,,,,
degradation,,,,,
