Attribute,Type,Options,Label,Description,Disclaimer,Manual,Note,Changes
electron_beam,binary,"no = No
yes = Yes",Electron beam sensitivity,Indicating degradation under electron beam radiation.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=42,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
polydispersity,set,"quasi_mono = Quasi-monodisperse
moderate_poly = Moderate polydisperse
high_poly = Highly polydisperse",Polydispersity,Representing grade of polydispersity.,[Insert material attribute-related disclaimer here.],,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
multimodality,set,"diff_leq_20pct = Peak size differ ≤ 20%
diff_gt_x10 = Peak size differ > factor 10
diff_moderate = Moderate distance between peaks",Multimodality,Representing grade of multimodality.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=42,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
conductivity,set,"conductive = Conductive
semiconductive = Semi-conductive
insulator = Insulator",Conductivity,Representing conductive properties.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=42,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
magnetism,set,"diamagnetic = Diamagnetic
paramagnetic = Paramagnetic
superparamagnetic = Superparamagnetic
ferromagnetic = Ferromagnetic
ferrimagnetic = Ferrimagnetic
antiferromagnetic = Antiferromagnetic",Magnetism,Representing types of magnetic properties.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=43,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
functionalisation,binary,"no = No
yes = Yes",Functionalisation,Indicating functionalisation of particles.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=43,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
light_absorption,binary,"no = No
yes = Yes",Light absorption,Indicating light absorbing properties.,[Insert material attribute-related disclaimer here.],,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
fluorescence,binary,"no = No
yes = Yes",Fluorescence,Indicating fluorescent properties.,[Insert material attribute-related disclaimer here.],,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
aggregation,binary,"no = No
yes = Yes",Aggregation,Indicating particle aggregation.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=46,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
agglomeration,binary,"no = No
yes = Yes",Agglomeration,Indicating particle agglomeration.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=43,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
release_iam,binary,"no = No
yes = Yes","Release of ions, atoms, molecues","Indicating release of ions, atoms and molecules.",[Insert material attribute-related disclaimer here.],,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
wr_size_range,interval,"[,]",Particle size range,Indicating the size range (nm-scaled) of particles.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=46,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
presence,binary,"no = No
yes = Yes",Presence of different sized particles,Indicating the presence of different sized subnano (d<1nm in all dimensions) or susnano (d>100nm in all dimensions) particles.,[Insert material attribute-related disclaimer here.],,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
os_vacuum,binary,"no = No
yes = Yes",Vacuum sensitivity,Indicating degradation under vacuum.,[Insert material attribute-related disclaimer here.],,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
