analysis_temperature,"[7,55.4] = 7°C -- 55.4°C
[-70,0] = -70°C -- 0°C
[35,35] = 35°C","[1,99]","[1,99]","[1,99]","[1,99]","[1,99]","[1,99]","[-273,500]","[-273,100]","[-273,500]","[-273,500]","[-273,500]","[-273,500]","[-273,500]","[-273,100]","[-273,500]","[-273,500]","[-273,50]"
electron_beam,"? = Unknown
no = No
yes = Yes",no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes
polydispersity,"? = Unknown
{quasi_mono} = Quasi-monodisperse",{quasi_mono},{quasi_mono},{high_poly},{quasi_mono},{high_poly},{quasi_mono},{high_poly},{high_poly},{high_poly},{moderate_poly},{high_poly},{high_poly},{high_poly},{high_poly},{high_poly},{high_poly},{high_poly}
multimodality,"? = Unknown
{diff_leq_20pct} = Peak size differ ≤ 20%",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
conductivity,"? = Unknown
{conductive} = Conductive",{conductive},{insulator},{insulator},{insulator},{insulator},{conductive},{insulator},{insulator},{insulator},{conductive},{conductive},{insulator},{insulator},{insulator},{insulator},{insulator},{insulator}
magnetism,"? = Unknown
{} = None
{diamagnetic} = Diamagnetic
{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic} = All",?,?,?,?,?,?,?,?,?,?,{ferromagnetic},?,?,?,?,?,?
functionalisation,"? = Unknown
no = No
yes = Yes",?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,yes,no
light_absorption,"? = Unknown
no = No
yes = Yes",?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?
fluorescence,"? = Unknown
no = No
yes = Yes",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
aggregation,"? = Unknown
no = No
yes = Yes",no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
agglomeration,"? = Unknown
no = No
yes = Yes",no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
release_iam,"? = Unknown
no = No
yes = Yes",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
wr_size_range,"[1,100] = 1nm - 100nm
[4.5,2000] = 4.5nm - 2µm","[10,30]","[10,30]","[20,150]","[30,50]","[40,400]","[1,20]","[50,750]","[20,90]","[50,800]","[5,20]","[10,200]","[50,500]","[1,1000]","[50,500]","[10,150]","[75,400]","[500,10000]"
presence,"? = Unknown
no = No
yes = Yes",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
os_vacuum,"? = Unknown
no = No
yes = Yes",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
